docname,topic,proportion
ADHD85.txt,001,0.514195
ADHD85.txt,000,0.330546
ADHD85.txt,004,0.076669
ADHD85.txt,007,0.055818
ADHD85.txt,015,0.022772
ADHD75.txt,000,0.53443
ADHD75.txt,002,0.191011
ADHD75.txt,001,0.082605
ADHD75.txt,006,0.076307
ADHD75.txt,008,0.043895
ADHD75.txt,007,0.031354
ADHD75.txt,017,0.021109
ADHD75.txt,005,0.01929
ADHD223.txt,011,1.0
ADHD71.txt,011,0.498259
ADHD71.txt,006,0.240063
ADHD71.txt,002,0.135336
ADHD71.txt,000,0.056979
ADHD71.txt,004,0.036233
ADHD71.txt,018,0.03313
ADHD188.txt,007,0.632875
ADHD188.txt,000,0.315395
ADHD188.txt,001,0.02229
ADHD188.txt,014,0.021057
ADHD188.txt,005,0.008383
ADHD12.txt,015,0.190995
ADHD12.txt,001,0.162629
ADHD12.txt,005,0.11364
ADHD12.txt,004,0.095862
ADHD12.txt,027,0.087664
ADHD12.txt,009,0.087165
ADHD12.txt,013,0.06953
ADHD12.txt,024,0.066588
ADHD12.txt,000,0.059094
ADHD12.txt,018,0.041783
ADHD114.txt,000,0.82252
ADHD114.txt,004,0.169537
ADHD114.txt,006,0.007943
ADHD213.txt,017,1.0
ADHD42.txt,005,0.388998
ADHD42.txt,000,0.214667
ADHD42.txt,001,0.17409
ADHD42.txt,007,0.146361
ADHD42.txt,018,0.044015
ADHD42.txt,006,0.031869
ADHD1.txt,022,1.0
ADHD27.txt,008,0.295359
ADHD27.txt,013,0.2488
ADHD27.txt,001,0.199066
ADHD27.txt,012,0.147732
ADHD27.txt,000,0.077954
ADHD27.txt,015,0.031088
ADHD54.txt,000,0.598137
ADHD54.txt,004,0.130107
ADHD54.txt,023,0.065635
ADHD54.txt,012,0.063133
ADHD54.txt,020,0.049145
ADHD54.txt,026,0.048528
ADHD54.txt,001,0.035655
ADHD54.txt,027,0.009659
ADHD172.txt,006,0.875267
ADHD172.txt,001,0.080734
ADHD172.txt,017,0.043998
ADHD15.txt,008,0.600662
ADHD15.txt,001,0.147524
ADHD15.txt,012,0.079767
ADHD15.txt,005,0.072403
ADHD15.txt,002,0.063093
ADHD15.txt,013,0.03655
ADHD64.txt,000,0.508961
ADHD64.txt,002,0.189615
ADHD64.txt,005,0.104924
ADHD64.txt,007,0.074353
ADHD64.txt,006,0.062521
ADHD64.txt,001,0.030554
ADHD64.txt,017,0.015005
ADHD64.txt,003,0.008696
ADHD64.txt,015,0.005371
ADHD6.txt,008,1.0
ADHD82.txt,005,0.475508
ADHD82.txt,012,0.195342
ADHD82.txt,001,0.192179
ADHD82.txt,015,0.136972
ADHD84.txt,000,0.650055
ADHD84.txt,002,0.266605
ADHD84.txt,006,0.059252
ADHD84.txt,004,0.017495
ADHD84.txt,008,0.006593
ADHD13.txt,019,1.0
ADHD149.txt,007,0.541964
ADHD149.txt,000,0.211148
ADHD149.txt,002,0.132723
ADHD149.txt,006,0.080626
ADHD149.txt,001,0.03354
ADHD29.txt,011,0.349574
ADHD29.txt,001,0.212195
ADHD29.txt,000,0.204387
ADHD29.txt,006,0.069475
ADHD29.txt,018,0.048802
ADHD29.txt,002,0.045219
ADHD29.txt,027,0.036832
ADHD29.txt,004,0.033516
ADHD30.txt,004,0.257068
ADHD30.txt,008,0.231868
ADHD30.txt,013,0.172768
ADHD30.txt,002,0.091367
ADHD30.txt,012,0.065947
ADHD30.txt,001,0.057581
ADHD30.txt,000,0.047396
ADHD30.txt,005,0.040791
ADHD30.txt,015,0.020278
ADHD30.txt,022,0.014938
ADHD121.txt,002,0.763003
ADHD121.txt,006,0.114017
ADHD121.txt,000,0.058074
ADHD121.txt,008,0.041766
ADHD121.txt,014,0.023141
ADHD72.txt,001,0.498637
ADHD72.txt,000,0.177269
ADHD72.txt,011,0.083515
ADHD72.txt,014,0.072591
ADHD72.txt,005,0.067679
ADHD72.txt,006,0.044325
ADHD72.txt,018,0.027511
ADHD72.txt,024,0.024413
ADHD72.txt,008,0.00406
ADHD200.txt,000,0.926907
ADHD200.txt,004,0.036101
ADHD200.txt,005,0.027815
ADHD200.txt,001,0.009177
ADHD193.txt,000,0.784911
ADHD193.txt,005,0.076303
ADHD193.txt,001,0.043557
ADHD193.txt,007,0.033452
ADHD193.txt,006,0.03073
ADHD193.txt,017,0.022137
ADHD193.txt,014,0.008909
ADHD56.txt,004,0.390237
ADHD56.txt,000,0.217055
ADHD56.txt,001,0.176177
ADHD56.txt,011,0.064781
ADHD56.txt,006,0.03835
ADHD56.txt,020,0.037122
ADHD56.txt,005,0.034177
ADHD56.txt,002,0.027054
ADHD56.txt,015,0.015046
ADHD197.txt,002,0.679239
ADHD197.txt,000,0.190403
ADHD197.txt,005,0.070614
ADHD197.txt,014,0.026061
ADHD197.txt,001,0.018493
ADHD197.txt,007,0.015189
ADHD112.txt,000,0.325031
ADHD112.txt,006,0.317321
ADHD112.txt,002,0.115176
ADHD112.txt,008,0.091012
ADHD112.txt,021,0.036541
ADHD112.txt,001,0.035516
ADHD112.txt,005,0.028646
ADHD112.txt,029,0.027814
ADHD112.txt,028,0.022942
ADHD22.txt,000,0.247882
ADHD22.txt,008,0.180866
ADHD22.txt,001,0.176872
ADHD22.txt,013,0.087801
ADHD22.txt,003,0.082765
ADHD22.txt,025,0.048843
ADHD22.txt,004,0.042621
ADHD22.txt,005,0.03917
ADHD22.txt,015,0.028001
ADHD22.txt,002,0.025541
ADHD221.txt,000,0.76088
ADHD221.txt,008,0.123394
ADHD221.txt,005,0.066522
ADHD221.txt,004,0.047065
ADHD221.txt,001,0.002139
ADHD208.txt,006,1.0
ADHD48.txt,027,1.0
ADHD184.txt,000,0.953418
ADHD184.txt,008,0.028909
ADHD184.txt,005,0.016913
ADHD184.txt,023,0.00076
ADHD16.txt,013,0.264707
ADHD16.txt,003,0.193955
ADHD16.txt,008,0.151378
ADHD16.txt,000,0.12238
ADHD16.txt,004,0.099255
ADHD16.txt,005,0.045765
ADHD16.txt,001,0.040866
ADHD16.txt,025,0.037425
ADHD16.txt,006,0.016032
ADHD16.txt,022,0.014915
ADHD11.txt,000,0.533201
ADHD11.txt,002,0.127471
ADHD11.txt,008,0.072691
ADHD11.txt,006,0.06781
ADHD11.txt,001,0.054759
ADHD11.txt,005,0.048996
ADHD11.txt,021,0.039198
ADHD11.txt,007,0.019488
ADHD11.txt,017,0.011562
ADHD11.txt,004,0.011285
ADHD66.txt,015,1.0
ADHD165.txt,000,0.42698
ADHD165.txt,007,0.313135
ADHD165.txt,003,0.161821
ADHD165.txt,022,0.064772
ADHD165.txt,001,0.029858
ADHD165.txt,005,0.003434
ADHD217.txt,001,0.261606
ADHD217.txt,006,0.177846
ADHD217.txt,014,0.14928
ADHD217.txt,005,0.130442
ADHD217.txt,000,0.120814
ADHD217.txt,002,0.065037
ADHD217.txt,018,0.039708
ADHD217.txt,007,0.032521
ADHD217.txt,011,0.022747
ADHD17.txt,000,0.362288
ADHD17.txt,008,0.13936
ADHD17.txt,001,0.106518
ADHD17.txt,004,0.084831
ADHD17.txt,002,0.077492
ADHD17.txt,013,0.076235
ADHD17.txt,006,0.048851
ADHD17.txt,003,0.036941
ADHD17.txt,015,0.021347
ADHD17.txt,025,0.021151
ADHD26.txt,012,1.0
ADHD169.txt,011,0.42805
ADHD169.txt,002,0.183471
ADHD169.txt,014,0.124388
ADHD169.txt,006,0.119352
ADHD169.txt,001,0.094364
ADHD169.txt,027,0.03356
ADHD169.txt,018,0.016816
ADHD35.txt,005,1.0
ADHD199.txt,000,0.749532
ADHD199.txt,005,0.070459
ADHD199.txt,001,0.062276
ADHD199.txt,007,0.027578
ADHD199.txt,004,0.027577
ADHD199.txt,002,0.024938
ADHD199.txt,006,0.022493
ADHD199.txt,008,0.010058
ADHD199.txt,028,0.005088
ADHD167.txt,007,0.741695
ADHD167.txt,006,0.18158
ADHD167.txt,022,0.040381
ADHD167.txt,000,0.036344
ADHD154.txt,000,0.833152
ADHD154.txt,001,0.08179
ADHD154.txt,011,0.050749
ADHD154.txt,017,0.034308
ADHD124.txt,000,0.376273
ADHD124.txt,007,0.322072
ADHD124.txt,002,0.16682
ADHD124.txt,008,0.090804
ADHD124.txt,003,0.044031
ADHD46.txt,002,0.401348
ADHD46.txt,000,0.19351
ADHD46.txt,011,0.117225
ADHD46.txt,005,0.090698
ADHD46.txt,006,0.06642
ADHD46.txt,018,0.060977
ADHD46.txt,014,0.04457
ADHD46.txt,004,0.025253
ADHD140.txt,000,0.345329
ADHD140.txt,002,0.285624
ADHD140.txt,006,0.20424
ADHD140.txt,001,0.043301
ADHD140.txt,011,0.039524
ADHD140.txt,014,0.037831
ADHD140.txt,026,0.022224
ADHD140.txt,015,0.021928
ADHD60.txt,001,0.474817
ADHD60.txt,012,0.150039
ADHD60.txt,008,0.119519
ADHD60.txt,013,0.103432
ADHD60.txt,000,0.064578
ADHD60.txt,003,0.043905
ADHD60.txt,015,0.043709
ADHD40.txt,011,0.31436
ADHD40.txt,012,0.134891
ADHD40.txt,000,0.09416
ADHD40.txt,004,0.088684
ADHD40.txt,001,0.074451
ADHD40.txt,006,0.072635
