topic,term,weight
000,calendar,0.08355102
000,google,0.044766065
000,sync,0.019869603
000,ifttt,0.01666919
000,great,0.017628223
000,outlook,0.015366216
000,organize,0.013825654
000,location,0.013234789
000,amaze,0.013376501
000,wunderlist,0.0128938835
001,task,0.054002468
001,timar,0.04869989
001,app,0.042535163
001,timer,0.030607348
001,set,0.027564924
001,list,0.025101647
001,routine,0.017418856
001,morning,0.016317127
001,android,0.016849682
001,day,0.01659079
002,brain,0.02013341
002,joke,0.01483053
002,think,0.01569461
002,computer,0.01448511
002,social,0.0106727835
002,consciousness,0.010167186
002,suit,0.010124432
002,counter,0.009856732
002,recognition,0.009856732
002,scifi,0.009854977
003,memory,0.03100629
003,car,0.03047246
003,system,0.026410265
003,context,0.020408861
003,act,0.014322374
003,train,0.014976345
003,intuitive,0.012822636
003,create,0.013105814
003,big,0.011839592
003,reason,0.012087996
004,job,0.033944387
004,mistake,0.026033338
004,boss,0.024925744
004,make,0.021856466
004,fire,0.017359503
004,office,0.01626872
004,payment,0.016112776
004,work,0.022093015
004,uber,0.012598773
004,responsibility,0.011984003
005,design,0.038276568
005,job,0.038993098
005,engineer,0.032241907
005,major,0.024493346
005,college,0.020756226
005,degree,0.020331025
005,class,0.017731342
005,school,0.01784561
005,position,0.016447458
005,c,0.015916232
006,ynab,0.039086867
006,buy,0.034642395
006,budget,0.029831028
006,month,0.026419155
006,money,0.026599128
006,stuff,0.019295102
006,year,0.01814563
006,make,0.018192058
006,stick,0.012602594
006,simply,0.012040408
007,question,0.03728641
007,fill,0.033872683
007,answer,0.030007267
007,questionnaire,0.029097417
007,group,0.025241092
007,research,0.017945375
007,form,0.017122997
007,option,0.017282333
007,survey,0.014078866
007,short,0.0142210275
008,adhd,0.039496265
008,pregnancy,0.031392097
008,medication,0.020078368
008,safe,0.015351974
008,kid,0.01347013
008,baby,0.012013952
008,meds,0.0118053565
008,adult,0.009079363
008,pregnant,0.008753074
008,www.additudemag.com,0.008753074
009,google,0.06494387
009,reminder,0.0634847
009,list,0.043892995
009,app,0.038702097
009,tasker,0.024748938
009,free,0.023792543
009,phone,0.025153175
009,find,0.023529235
009,easy,0.020853879
009,opinion,0.018179998
010,stock,0.059383184
010,money,0.03864988
010,invest,0.023843225
010,nbsp,0.014486245
010,robinhood,0.011362358
010,put,0.011147508
010,saving,0.00898147
010,trade,0.008932351
010,investor,0.008730335
010,speculation,0.008326029
011,tab,0.094464906
011,save,0.043147393
011,window,0.040535774
011,bookmark,0.034320112
011,extension,0.033215623
011,chrome,0.03352233
