docname,topic,proportion
ADHD110.txt,009,0.449897
ADHD110.txt,003,0.149623
ADHD110.txt,004,0.124987
ADHD110.txt,000,0.115681
ADHD110.txt,011,0.079314
ADHD110.txt,008,0.042278
ADHD110.txt,017,0.022692
ADHD110.txt,002,0.015528
ADHD32.txt,008,0.426886
ADHD32.txt,005,0.241205
ADHD32.txt,001,0.169666
ADHD32.txt,019,0.056852
ADHD32.txt,003,0.053108
ADHD32.txt,010,0.052283
ADHD41.txt,013,1.0
ADHD179.txt,000,0.986985
ADHD179.txt,017,0.013015
ADHD211.txt,008,0.570202
ADHD211.txt,005,0.163361
ADHD211.txt,001,0.144697
ADHD211.txt,003,0.074568
ADHD211.txt,025,0.026412
ADHD211.txt,014,0.02076
ADHD174.txt,009,0.979819
ADHD174.txt,006,0.020181
ADHD4.txt,007,0.823887
ADHD4.txt,002,0.08137
ADHD4.txt,026,0.07411
ADHD4.txt,004,0.020633
ADHD218.txt,004,0.288288
ADHD218.txt,012,0.223179
ADHD218.txt,000,0.110212
ADHD218.txt,017,0.103941
ADHD218.txt,008,0.088571
ADHD218.txt,001,0.083617
ADHD218.txt,009,0.041533
ADHD218.txt,003,0.031279
ADHD218.txt,002,0.013424
ADHD218.txt,028,0.008182
ADHD17.txt,002,0.464607
ADHD17.txt,000,0.107113
ADHD17.txt,007,0.087331
ADHD17.txt,001,0.085065
ADHD17.txt,008,0.080861
ADHD17.txt,003,0.059513
ADHD17.txt,013,0.046548
ADHD17.txt,016,0.026012
ADHD17.txt,028,0.02206
ADHD17.txt,024,0.010701
ADHD22.txt,007,0.529237
ADHD22.txt,002,0.334488
ADHD22.txt,018,0.08393
ADHD22.txt,005,0.052345
ADHD220.txt,004,0.238788
ADHD220.txt,001,0.140485
ADHD220.txt,008,0.13357
ADHD220.txt,012,0.118861
ADHD220.txt,000,0.114849
ADHD220.txt,017,0.07406
ADHD220.txt,021,0.053757
ADHD220.txt,009,0.044902
ADHD220.txt,011,0.042973
ADHD220.txt,002,0.028379
ADHD217.txt,006,0.274977
ADHD217.txt,013,0.133847
ADHD217.txt,001,0.122855
ADHD217.txt,003,0.091498
ADHD217.txt,002,0.090103
ADHD217.txt,005,0.08685
ADHD217.txt,014,0.086745
ADHD217.txt,004,0.059316
ADHD217.txt,008,0.030438
ADHD217.txt,000,0.023371
ADHD191.txt,000,0.637788
ADHD191.txt,001,0.164693
ADHD191.txt,019,0.096136
ADHD191.txt,010,0.072323
ADHD191.txt,025,0.025626
ADHD191.txt,004,0.003435
ADHD44.txt,002,0.500208
ADHD44.txt,001,0.333774
ADHD44.txt,003,0.166018
ADHD120.txt,010,0.614165
ADHD120.txt,005,0.227031
ADHD120.txt,011,0.096134
ADHD120.txt,000,0.06267
ADHD119.txt,004,0.445044
ADHD119.txt,017,0.159082
ADHD119.txt,001,0.151733
ADHD119.txt,000,0.133918
ADHD119.txt,012,0.096648
ADHD119.txt,011,0.013574
ADHD123.txt,000,0.821829
ADHD123.txt,012,0.090115
ADHD123.txt,001,0.053088
ADHD123.txt,017,0.034968
ADHD89.txt,011,0.268717
ADHD89.txt,012,0.249701
ADHD89.txt,004,0.082288
ADHD89.txt,008,0.079687
ADHD89.txt,000,0.056851
ADHD89.txt,002,0.054606
ADHD89.txt,006,0.039404
ADHD89.txt,020,0.031122
ADHD89.txt,001,0.029283
ADHD89.txt,016,0.027483
ADHD29.txt,002,0.899639
ADHD29.txt,000,0.100361
ADHD193.txt,008,0.386003
ADHD193.txt,006,0.271908
ADHD193.txt,004,0.103032
ADHD193.txt,001,0.072679
ADHD193.txt,005,0.067711
ADHD193.txt,016,0.029676
ADHD193.txt,011,0.028877
ADHD193.txt,002,0.023123
ADHD193.txt,028,0.012966
ADHD193.txt,000,0.004025
ADHD12.txt,021,1.0
ADHD127.txt,011,0.266402
ADHD127.txt,004,0.165509
ADHD127.txt,006,0.150964
ADHD127.txt,016,0.095071
ADHD127.txt,013,0.069552
ADHD127.txt,010,0.059669
ADHD127.txt,000,0.058542
ADHD127.txt,001,0.038786
ADHD127.txt,022,0.030563
ADHD127.txt,003,0.02278
ADHD159.txt,012,0.361995
ADHD159.txt,004,0.153597
ADHD159.txt,000,0.089675
ADHD159.txt,001,0.059728
ADHD159.txt,009,0.058735
ADHD159.txt,008,0.047867
ADHD159.txt,017,0.042771
ADHD159.txt,027,0.040083
ADHD159.txt,005,0.039338
ADHD159.txt,020,0.038415
ADHD186.txt,000,1.0
ADHD223.txt,005,0.973873
ADHD223.txt,008,0.026127
ADHD36.txt,000,0.285886
ADHD36.txt,002,0.185888
ADHD36.txt,005,0.169423
ADHD36.txt,007,0.132049
ADHD36.txt,001,0.121096
ADHD36.txt,024,0.085122
ADHD36.txt,014,0.020537
ADHD148.txt,004,0.393016
ADHD148.txt,012,0.158482
ADHD148.txt,011,0.125502
ADHD148.txt,017,0.088046
ADHD148.txt,002,0.0871
ADHD148.txt,005,0.052464
ADHD148.txt,000,0.050966
ADHD148.txt,028,0.023217
ADHD148.txt,001,0.021206
ADHD54.txt,019,1.0
ADHD213.txt,009,0.558335
ADHD213.txt,005,0.141632
ADHD213.txt,004,0.111531
ADHD213.txt,017,0.108546
ADHD213.txt,007,0.079956
ADHD224.txt,006,0.310306
ADHD224.txt,004,0.283555
ADHD224.txt,005,0.272039
ADHD224.txt,008,0.1341
ADHD68.txt,009,0.204849
ADHD68.txt,004,0.153105
ADHD68.txt,012,0.109916
ADHD68.txt,001,0.107402
ADHD68.txt,002,0.102005
ADHD68.txt,003,0.088602
ADHD68.txt,008,0.084526
ADHD68.txt,005,0.075685
ADHD68.txt,000,0.065256
ADHD68.txt,019,0.007109
ADHD155.txt,008,0.350326
ADHD155.txt,003,0.259959
ADHD155.txt,007,0.14768
ADHD155.txt,009,0.098472
ADHD155.txt,005,0.097555
ADHD155.txt,001,0.035046
ADHD155.txt,029,0.007378
ADHD155.txt,000,0.003583
ADHD45.txt,004,0.334734
ADHD45.txt,000,0.281485
ADHD45.txt,001,0.129945
ADHD45.txt,011,0.070673
ADHD45.txt,008,0.069338
ADHD45.txt,009,0.048938
ADHD45.txt,012,0.040694
ADHD45.txt,007,0.024193
ADHD181.txt,004,0.452136
ADHD181.txt,012,0.164606
ADHD181.txt,011,0.125252
ADHD181.txt,016,0.071655
ADHD181.txt,001,0.066835
ADHD181.txt,008,0.059804
ADHD181.txt,000,0.059712
ADHD8.txt,002,0.877592
ADHD8.txt,008,0.047054
ADHD8.txt,007,0.040486
ADHD8.txt,000,0.028246
ADHD8.txt,029,0.006622
ADHD210.txt,007,0.512192
ADHD210.txt,003,0.241353
ADHD210.txt,004,0.106951
ADHD210.txt,001,0.099509
ADHD210.txt,002,0.039995
ADHD206.txt,005,0.598631
ADHD206.txt,000,0.312942
ADHD206.txt,003,0.088427
ADHD128.txt,002,0.522271
ADHD128.txt,005,0.121472
ADHD128.txt,003,0.080294
ADHD128.txt,000,0.060726
ADHD128.txt,004,0.055131
ADHD128.txt,006,0.044785
ADHD128.txt,008,0.036156
ADHD128.txt,007,0.034144
ADHD128.txt,001,0.026734
ADHD128.txt,019,0.018288
ADHD132.txt,003,0.66969
ADHD132.txt,005,0.158042
ADHD132.txt,002,0.147403
ADHD132.txt,000,0.024865
ADHD194.txt,003,0.35028
ADHD194.txt,001,0.151815
ADHD194.txt,004,0.115953
ADHD194.txt,000,0.115384
ADHD194.txt,008,0.067553
ADHD194.txt,002,0.067323
ADHD194.txt,013,0.053163
ADHD194.txt,011,0.036973
ADHD194.txt,009,0.022827
ADHD194.txt,005,0.01785
ADHD60.txt,005,0.727402
ADHD60.txt,001,0.112739
ADHD60.txt,013,0.076836
ADHD60.txt,004,0.0707
ADHD60.txt,000,0.012324
