topic,term,weight
000,adhd,0.023383074
000,long,0.01822255
000,paragraph,0.014736187
000,post,0.014365288
000,make,0.01632682
000,write,0.013074631
000,wall,0.009978161
000,tl,0.009062543
000,break,0.00901717
000,people,0.0163279
001,write,0.025960831
001,paper,0.012330547
001,word,0.012029302
001,work,0.015008003
001,medication,0.008537915
001,organize,0.0072594825
001,easy,0.008615035
001,timar,0.01718107
001,start,0.007331765
001,information,0.0072564436
002,read,0.11387753
002,book,0.05166964
002,page,0.014381674
002,story,0.008837803
002,love,0.008026799
002,find,0.013461524
002,start,0.0067535085
002,play,0.0045459275
002,enjoy,0.004233219
002,audiobooks,0.0041918983
003,work,0.030600468
003,study,0.021144863
003,focus,0.019789752
003,music,0.011536898
003,thing,0.015008721
003,help,0.0139425965
003,headphone,0.0054859356
003,good,0.009569138
003,college,0.0061469935
003,require,0.005528408
004,adhd,0.035425276
004,relationship,0.011673486
004,call,0.015761035
004,wrong,0.011518501
004,remember,0.013442019
004,depression,0.009349524
004,thing,0.014903495
004,delete,0.005239155
004,talk,0.006375612
004,social,0.005439642
005,notar,0.03374399
005,class,0.018585589
005,write,0.018300341
005,learn,0.014547851
005,school,0.010747265
005,i’m,0.0145988045
005,make,0.0134338755
005,it’s,0.0108762765
005,idear,0.007973954
005,study,0.0088839885
006,message,0.027005145
006,set,0.017048594
006,app,0.017772313
006,reminder,0.016343815
006,day,0.018642616
006,remind,0.012804632
006,work,0.017401101
006,remember,0.013089008
006,write,0.011358401
006,google,0.009587702
007,read,0.078555554
007,word,0.019714382
007,page,0.01757762
007,thing,0.022647895
007,speed,0.014526984
007,study,0.013163694
007,fast,0.010737818
007,problem,0.010443475
007,focus,0.010970788
007,brain,0.006735562
008,memory,0.03377585
008,remember,0.030193957
008,information,0.010831971
008,recall,0.009083787
008,fact,0.008546143
008,term,0.008408225
008,brain,0.007161906
008,store,0.0053598634
008,life,0.006635758
008,knowledge,0.0048138527
009,medication,0.029514348
009,year,0.015979812
009,take,0.012019191
009,increase,0.010906762
009,meds,0.011599537
009,vyvanse,0.007992494
009,school,0.01000838
009,diagnose,0.008045205
009,experience,0.009146001
009,dose,0.0069560264
010,read,0.106278464
010,work,0.023405429
010,speed,0.016187407
010,line,0.012970762
010,college,0.010571421
010,textbook,0.0096928375
010,matt,0.009223758
010,voice,0.0102478145
010,find,0.014674809
010,screen,0.00985077
011,email,0.039245885
011,message,0.03549299
011,reply,0.030590514
011,inbox,0.0147296535
011,respond,0.015157874
011,important,0.0129047455
011,day,0.016238125
011,folder,0.007794696
011,feel,0.011815059
011,check,0.009160716
012,adhd,0.030498557
012,message,0.02940285
012,friend,0.020411821
012,respond,0.017370095
012,social,0.01583923
012,reply,0.017051136
012,issue,0.015286219
012,hard,0.015082789
012,feel,0.015266813
012,it’s,0.0131316725
013,app,0.04334043
013,bank,0.020954186
013,balance,0.015741307
013,account,0.013402042
013,open,0.012312822
013,log,0.009339731
013,notification,0.010588224
013,i’ve,0.009982552
013,feature,0.009137645
013,fee,0.007605641
014,feature,0.035539597
014,app,0.023061816
014,list,0.014766273
014,idear,0.0151980445
014,google,0.012534363
014,user,0.010488459
014,email,0.012247885
014,forum,0.009395729
014,staff,0.009378978
014,project,0.008748937
015,text,0.059453193
015,message,0.037280552
015,remember,0.029703712
015,adhd,0.024164407
015,work,0.021872917
015,respond,0.016290944
015,back,0.018393002
015,reward,0.013043034
015,reply,0.014171371
015,memory,0.012756033
016,phone,0.0705732
016,work,0.040694363
016,timar,0.0379538
016,call,0.030617159
016,help,0.03292295
016,notification,0.025116058
016,office,0.017349944
016,check,0.01652805
016,watch,0.012727535
016,emergency,0.011250628
017,people,0.087882966
017,text,0.06641148
017,timar,0.04426828
017,feel,0.035800077
017,texting,0.025301924
017,back,0.02743971
017,haven’t,0.021568831
017,long,0.02339805
017,lol,0.018112361
017,speak,0.017431809
018,text,0.10722255
018,read,0.105093434
018,highlight,0.029877534
018,email,0.024796948
018,extension,0.022364782
018,speech,0.023595616
018,speakit,0.019700374
018,browser,0.01603115
018,kindle,0.015070062
018,chrome,0.014577616
019,read,0.22854388
019,class,0.036553215
019,learn,0.035479806
019,text,0.057082564
019,school,0.029977977
019,retain,0.028952515
019,back,0.03246262
019,comprehension,0.027683666
019,sit,0.028015994
019,wrong,0.027338682
020,person,0.055620212
020,speak,0.054660916
020,month,0.04210951
020,message,0.045663595
020,people,0.039003003
020,ghost,0.019968858
020,overthinking,0.019566074
020,mom,0.019535094
020,awful,0.018811228
020,week,0.018105146
021,i’m,0.053835813
021,pdf,0.048902623
021,reader,0.049087297
021,help,0.048447896
021,read,0.0774148
021,fuck,0.028894026
021,voice,0.029105308
021,extension,0.025682094
021,information,0.025800625
021,audio,0.023324098
022,text,0.14279567
022,phone,0.09860678
022,call,0.054047048
022,send,0.026183514
022,group,0.023627408
022,ring,0.022355407
022,overstimulated,0.022176843
022,anxious,0.022074813
022,overwhelm,0.022033552
022,throw,0.0218416
023,colour,0.072559394
023,dark,0.040350772
023,search,0.03812589
023,background,0.030100977
023,window,0.032337237
023,yellow,0.028610542
023,dyslexic,0.028387507
023,find,0.034340188
023,screen,0.026100019
023,red,0.02219837
024,read,0.1119244
024,window,0.07012908
024,help,0.04981622
024,highlight,0.038930845
024,computer,0.035049524
024,sentence,0.023634836
024,set,0.019696603
024,entire,0.017872874
024,listar,0.01728091
024,mac,0.016789533
025,article,0.07167933
025,review,0.045755126
025,thousand,0.04031149
025,incremental,0.039775494
025,process,0.032190707
025,repetition,0.025787927
025,fragment,0.02554394
025,extract,0.02554394
025,anki,0.025381528
025,read,0.06636725
026,read,0.16253762
026,finger,0.046504494
026,wheel,0.045887254
026,cover,0.045711055
026,timar,0.046063334
026,fast,0.03249121
026,sentence,0.032675583
026,camp,0.029906318
026,ride,0.029502636
026,track,0.02999619
027,i’m,0.06329556
027,speech,0.06047681
027,text,0.06337253
027,it’s,0.03592022
027,i’ve,0.03265339
027,study,0.03168196
027,exam,0.02874887
027,can’t,0.028063957
027,natural,0.026880618
027,listen,0.027727203
028,forget,0.112037316
028,hand,0.06848389
028,dish,0.06100902
028,thought,0.04066392
028,understand,0.04141212
028,task,0.040450722
028,dry,0.038808495
028,put,0.038382906
028,spin-dry,0.036461625
028,day,0.038149647
029,read,0.12642404
029,analyze,0.057010904
029,fiction,0.056387763
029,reader,0.05401573
029,trouble,0.026770758
029,focus,0.028013933
029,experience,0.025969308
029,age,0.024826443
029,bore,0.024877595
029,young,0.024590252
