docname,topic,proportion
ADHD25.txt,027,1.0
ADHD235.txt,001,0.310635
ADHD235.txt,011,0.134417
ADHD235.txt,004,0.109141
ADHD235.txt,005,0.096123
ADHD235.txt,000,0.083064
ADHD235.txt,010,0.066648
ADHD235.txt,003,0.063522
ADHD235.txt,002,0.062314
ADHD235.txt,007,0.059131
ADHD235.txt,027,0.014004
ADHD148.txt,011,0.967616
ADHD148.txt,001,0.019099
ADHD148.txt,015,0.013285
ADHD2.txt,001,0.486266
ADHD2.txt,000,0.136043
ADHD2.txt,004,0.109871
ADHD2.txt,018,0.086179
ADHD2.txt,002,0.067115
ADHD2.txt,005,0.040183
ADHD2.txt,010,0.039374
ADHD2.txt,014,0.013574
ADHD2.txt,011,0.012972
ADHD2.txt,024,0.008422
ADHD218.txt,001,0.384692
ADHD218.txt,004,0.257598
ADHD218.txt,011,0.118176
ADHD218.txt,002,0.061524
ADHD218.txt,000,0.046701
ADHD218.txt,010,0.043072
ADHD218.txt,009,0.034686
ADHD218.txt,016,0.016024
ADHD218.txt,005,0.015554
ADHD218.txt,027,0.014913
ADHD168.txt,008,0.475272
ADHD168.txt,020,0.18035
ADHD168.txt,000,0.080092
ADHD168.txt,001,0.076532
ADHD168.txt,006,0.068675
ADHD168.txt,011,0.052671
ADHD168.txt,004,0.043454
ADHD168.txt,003,0.022954
ADHD77.txt,000,0.722067
ADHD77.txt,016,0.080003
ADHD77.txt,001,0.064711
ADHD77.txt,002,0.061023
ADHD77.txt,004,0.025958
ADHD77.txt,014,0.019773
ADHD77.txt,008,0.017541
ADHD77.txt,006,0.008924
ADHD209.txt,012,0.946419
ADHD209.txt,000,0.053581
ADHD170.txt,001,0.447077
ADHD170.txt,009,0.398733
ADHD170.txt,007,0.117191
ADHD170.txt,020,0.037
ADHD133.txt,001,0.364791
ADHD133.txt,000,0.326173
ADHD133.txt,002,0.148732
ADHD133.txt,024,0.081655
ADHD133.txt,017,0.035566
ADHD133.txt,020,0.017101
ADHD133.txt,004,0.013335
ADHD133.txt,005,0.012262
ADHD133.txt,011,0.000385
ADHD160.txt,020,0.411426
ADHD160.txt,001,0.267855
ADHD160.txt,010,0.173982
ADHD160.txt,002,0.061555
ADHD160.txt,008,0.03637
ADHD160.txt,024,0.035793
ADHD160.txt,000,0.013019
ADHD228.txt,001,0.728832
ADHD228.txt,011,0.138716
ADHD228.txt,002,0.068652
ADHD228.txt,007,0.029203
ADHD228.txt,004,0.023511
ADHD228.txt,000,0.011086
ADHD166.txt,001,0.262235
ADHD166.txt,004,0.258622
ADHD166.txt,011,0.172034
ADHD166.txt,005,0.064897
ADHD166.txt,000,0.054613
ADHD166.txt,002,0.052418
ADHD166.txt,010,0.049337
ADHD166.txt,003,0.047913
ADHD166.txt,009,0.024101
ADHD166.txt,022,0.01383
ADHD157.txt,011,0.2953
ADHD157.txt,010,0.222769
ADHD157.txt,001,0.180718
ADHD157.txt,005,0.103084
ADHD157.txt,004,0.072807
ADHD157.txt,000,0.061899
ADHD157.txt,007,0.02923
ADHD157.txt,016,0.017259
ADHD157.txt,021,0.016933
ADHD115.txt,005,0.371285
ADHD115.txt,009,0.222179
ADHD115.txt,010,0.120881
ADHD115.txt,001,0.08111
ADHD115.txt,011,0.078622
ADHD115.txt,026,0.035698
ADHD115.txt,008,0.029536
ADHD115.txt,023,0.028534
ADHD115.txt,002,0.023544
ADHD115.txt,014,0.008611
ADHD96.txt,008,0.662142
ADHD96.txt,020,0.186106
ADHD96.txt,006,0.086297
ADHD96.txt,004,0.063434
ADHD96.txt,007,0.002021
ADHD125.txt,004,0.936009
ADHD125.txt,001,0.036403
ADHD125.txt,011,0.027588
ADHD158.txt,004,0.560679
ADHD158.txt,027,0.340585
ADHD158.txt,022,0.098736
ADHD3.txt,009,0.619968
ADHD3.txt,001,0.207861
ADHD3.txt,007,0.088478
ADHD3.txt,004,0.048035
ADHD3.txt,027,0.035657
ADHD212.txt,008,0.955913
ADHD212.txt,026,0.040903
ADHD212.txt,005,0.003184
ADHD23.txt,012,1.0
ADHD22.txt,000,1.0
ADHD81.txt,029,1.0
ADHD217.txt,011,0.903825
ADHD217.txt,001,0.096175
ADHD6.txt,001,0.967627
ADHD6.txt,003,0.016459
ADHD6.txt,004,0.008847
ADHD6.txt,024,0.007067
ADHD163.txt,001,0.654662
ADHD163.txt,000,0.193536
ADHD163.txt,011,0.058988
ADHD163.txt,002,0.03532
ADHD163.txt,004,0.033038
ADHD163.txt,007,0.012811
ADHD163.txt,014,0.011645
ADHD18.txt,008,0.358607
ADHD18.txt,002,0.189452
ADHD18.txt,012,0.155881
ADHD18.txt,001,0.068752
ADHD18.txt,010,0.06656
ADHD18.txt,009,0.060598
ADHD18.txt,006,0.057018
ADHD18.txt,020,0.043132
ADHD40.txt,002,1.0
ADHD29.txt,000,0.523081
ADHD29.txt,002,0.119354
ADHD29.txt,005,0.093778
ADHD29.txt,004,0.091788
ADHD29.txt,001,0.065898
ADHD29.txt,016,0.051678
ADHD29.txt,025,0.022024
ADHD29.txt,006,0.012461
ADHD29.txt,007,0.010515
ADHD29.txt,020,0.009423
ADHD120.txt,020,1.0
ADHD164.txt,010,0.299571
ADHD164.txt,002,0.280278
ADHD164.txt,000,0.269452
ADHD164.txt,001,0.132181
ADHD164.txt,005,0.018519
ADHD99.txt,001,0.735613
ADHD99.txt,000,0.122701
ADHD99.txt,016,0.055968
ADHD99.txt,002,0.048236
ADHD99.txt,008,0.021953
ADHD99.txt,004,0.014181
ADHD99.txt,014,0.001347
ADHD189.txt,005,0.453677
ADHD189.txt,014,0.134864
ADHD189.txt,007,0.090291
ADHD189.txt,000,0.076413
ADHD189.txt,016,0.072499
ADHD189.txt,004,0.066757
ADHD189.txt,001,0.064396
ADHD189.txt,011,0.035705
ADHD189.txt,002,0.005399
ADHD162.txt,000,0.721793
ADHD162.txt,001,0.081797
ADHD162.txt,004,0.079486
ADHD162.txt,002,0.0505
ADHD162.txt,005,0.048083
ADHD162.txt,006,0.018341
ADHD204.txt,001,0.684162
ADHD204.txt,002,0.087148
ADHD204.txt,000,0.06779
ADHD204.txt,005,0.049072
ADHD204.txt,004,0.045329
ADHD204.txt,007,0.044288
ADHD204.txt,024,0.012783
ADHD204.txt,003,0.009429
ADHD197.txt,000,0.843011
ADHD197.txt,005,0.128721
ADHD197.txt,020,0.028267
ADHD211.txt,003,0.446285
ADHD211.txt,004,0.203278
ADHD211.txt,011,0.132265
ADHD211.txt,001,0.07673
ADHD211.txt,002,0.050154
ADHD211.txt,000,0.03234
ADHD211.txt,018,0.02612
ADHD211.txt,005,0.016433
ADHD211.txt,010,0.016394
ADHD172.txt,001,0.680827
ADHD172.txt,004,0.108127
ADHD172.txt,000,0.0478
ADHD172.txt,014,0.03949
ADHD172.txt,011,0.036536
ADHD172.txt,002,0.02618
ADHD172.txt,008,0.025496
ADHD172.txt,024,0.017563
ADHD172.txt,020,0.014562
ADHD172.txt,005,0.003418
ADHD50.txt,001,0.553228
ADHD50.txt,005,0.204085
ADHD50.txt,011,0.077059
ADHD50.txt,000,0.062988
ADHD50.txt,004,0.035469
ADHD50.txt,024,0.029646
ADHD50.txt,027,0.023023
ADHD50.txt,002,0.014502
ADHD66.txt,018,1.0
ADHD126.txt,000,0.938954
ADHD126.txt,005,0.037876
ADHD126.txt,025,0.02317
ADHD176.txt,004,0.241232
ADHD176.txt,001,0.191541
ADHD176.txt,011,0.146759
ADHD176.txt,008,0.136038
ADHD176.txt,010,0.073977
ADHD176.txt,000,0.06852
ADHD176.txt,027,0.052834
ADHD176.txt,024,0.029553
ADHD176.txt,005,0.0201
ADHD176.txt,014,0.018021
ADHD216.txt,000,0.713646
ADHD216.txt,013,0.231352
ADHD216.txt,024,0.055002
ADHD10.txt,014,0.702571
ADHD10.txt,005,0.081907
ADHD10.txt,022,0.067995
ADHD10.txt,000,0.043742
ADHD10.txt,009,0.040543
ADHD10.txt,006,0.039728
ADHD10.txt,029,0.023514
ADHD182.txt,005,0.361326
ADHD182.txt,000,0.204646
ADHD182.txt,001,0.112403
ADHD182.txt,004,0.100497
ADHD182.txt,014,0.075076
ADHD182.txt,007,0.03816
ADHD182.txt,011,0.037699
ADHD182.txt,006,0.037136
ADHD182.txt,009,0.020679
ADHD182.txt,003,0.012377
ADHD97.txt,001,0.367898
ADHD97.txt,004,0.122797
ADHD97.txt,011,0.112028
ADHD97.txt,005,0.094253
ADHD97.txt,000,0.091451
ADHD97.txt,014,0.043863
ADHD97.txt,009,0.039747
ADHD97.txt,010,0.027705
ADHD97.txt,016,0.027476
ADHD97.txt,002,0.027069
ADHD49.txt,000,0.654814
ADHD49.txt,005,0.104209
ADHD49.txt,004,0.076907
ADHD49.txt,016,0.046675
ADHD49.txt,001,0.046357
ADHD49.txt,002,0.034667
ADHD49.txt,006,0.026518
ADHD49.txt,012,0.009852
ADHD36.txt,003,0.35285
ADHD36.txt,011,0.172804
ADHD36.txt,000,0.167711
ADHD36.txt,004,0.130558
ADHD36.txt,006,0.119724
ADHD36.txt,005,0.056353
ADHD152.txt,016,0.282346
ADHD152.txt,004,0.184611
ADHD152.txt,014,0.14754
ADHD152.txt,006,0.115565
ADHD152.txt,001,0.097921
ADHD152.txt,009,0.096154
ADHD152.txt,000,0.038958
ADHD152.txt,010,0.036907
ADHD7.txt,010,1.0
ADHD180.txt,001,0.734343
ADHD180.txt,011,0.104819
ADHD180.txt,008,0.057205
ADHD180.txt,000,0.053897
ADHD180.txt,024,0.035007
ADHD180.txt,015,0.012468
ADHD180.txt,004,0.00226
ADHD46.txt,012,0.4594
ADHD46.txt,000,0.455959
ADHD46.txt,025,0.047306
ADHD46.txt,001,0.037336
ADHD69.txt,000,0.477055
ADHD69.txt,002,0.343781
ADHD69.txt,007,0.070917
ADHD69.txt,003,0.04262
ADHD69.txt,014,0.03897
ADHD69.txt,001,0.026656
ADHD15.txt,005,0.223704
ADHD15.txt,001,0.197028
ADHD15.txt,002,0.163946
ADHD15.txt,004,0.140596
ADHD15.txt,018,0.085538
ADHD15.txt,003,0.054873
ADHD15.txt,011,0.042149
ADHD15.txt,000,0.032488
ADHD15.txt,016,0.031711
ADHD15.txt,009,0.026566
ADHD62.txt,016,1.0
ADHD124.txt,005,0.443927
ADHD124.txt,003,0.325534
ADHD124.txt,012,0.130898
ADHD124.txt,014,0.059752
ADHD124.txt,000,0.039889
ADHD37.txt,001,1.0
ADHD0.txt,016,0.662277
ADHD0.txt,000,0.091281
ADHD0.txt,001,0.079259
ADHD0.txt,002,0.039884
ADHD0.txt,004,0.030908
ADHD0.txt,006,0.030765
ADHD0.txt,014,0.022983
ADHD0.txt,011,0.021447
ADHD0.txt,008,0.012172
ADHD0.txt,005,0.009024
ADHD230.txt,001,0.459393
ADHD230.txt,000,0.126295
ADHD230.txt,004,0.126209
ADHD230.txt,002,0.090435
ADHD230.txt,011,0.056649
ADHD230.txt,016,0.040207
ADHD230.txt,014,0.035899
ADHD230.txt,008,0.029053
ADHD230.txt,006,0.018488
ADHD230.txt,005,0.017372
ADHD142.txt,004,0.537044
ADHD142.txt,005,0.224845
ADHD142.txt,010,0.069981
ADHD142.txt,014,0.064383
ADHD142.txt,000,0.037714
ADHD142.txt,016,0.028852
ADHD142.txt,001,0.023439
ADHD142.txt,020,0.013742
ADHD138.txt,003,0.350958
ADHD138.txt,001,0.311514
ADHD138.txt,002,0.227249
ADHD138.txt,000,0.080648
ADHD138.txt,016,0.020721
ADHD138.txt,011,0.00891
ADHD43.txt,000,0.631823
ADHD43.txt,016,0.082521
ADHD43.txt,001,0.070568
ADHD43.txt,002,0.061463
ADHD43.txt,007,0.061351
ADHD43.txt,005,0.043617
ADHD43.txt,014,0.03927
ADHD43.txt,003,0.009388
ADHD220.txt,001,0.762572
ADHD220.txt,000,0.126166
ADHD220.txt,005,0.043877
ADHD220.txt,014,0.031445
ADHD220.txt,002,0.025604
ADHD220.txt,020,0.010337
ADHD65.txt,006,1.0
ADHD233.txt,001,0.437997
ADHD233.txt,002,0.167232
ADHD233.txt,011,0.12768
ADHD233.txt,010,0.092432
ADHD233.txt,005,0.08061
ADHD233.txt,004,0.068713
ADHD233.txt,000,0.017005
ADHD233.txt,024,0.00833
ADHD42.txt,009,0.681496
ADHD42.txt,018,0.094718
ADHD42.txt,011,0.092021
ADHD42.txt,001,0.046577
ADHD42.txt,010,0.034418
ADHD42.txt,008,0.033634
ADHD42.txt,023,0.017137
ADHD143.txt,016,0.690564
ADHD143.txt,013,0.176332
ADHD143.txt,002,0.116014
ADHD143.txt,000,0.01709
ADHD113.txt,002,0.584686
ADHD113.txt,007,0.26075
ADHD113.txt,016,0.154564
ADHD83.txt,028,1.0
ADHD161.txt,011,0.25828
ADHD161.txt,001,0.210894
ADHD161.txt,002,0.158511
ADHD161.txt,004,0.136678
ADHD161.txt,010,0.062386
ADHD161.txt,006,0.060883
ADHD161.txt,000,0.057025
ADHD161.txt,005,0.041767
ADHD161.txt,027,0.013576
ADHD195.txt,001,0.426407
ADHD195.txt,000,0.139823
ADHD195.txt,004,0.104166
ADHD195.txt,011,0.094975
ADHD195.txt,002,0.088191
ADHD195.txt,024,0.038322
ADHD195.txt,003,0.031411
ADHD195.txt,006,0.028812
ADHD195.txt,005,0.024263
ADHD195.txt,016,0.023631
ADHD167.txt,001,0.467385
ADHD167.txt,000,0.226783
ADHD167.txt,002,0.070801
ADHD167.txt,005,0.069198
ADHD167.txt,004,0.067241
ADHD167.txt,019,0.055497
ADHD167.txt,024,0.021649
ADHD167.txt,020,0.021445
ADHD140.txt,004,0.649112
ADHD140.txt,010,0.102234
ADHD140.txt,001,0.074632
ADHD140.txt,000,0.058565
ADHD140.txt,016,0.043155
ADHD140.txt,027,0.042006
ADHD140.txt,011,0.030297
ADHD199.txt,009,0.435481
ADHD199.txt,001,0.334703
ADHD199.txt,002,0.075136
ADHD199.txt,004,0.054339
ADHD199.txt,008,0.034241
ADHD199.txt,005,0.029174
ADHD199.txt,003,0.020801
ADHD199.txt,000,0.016124
ADHD130.txt,001,0.186824
ADHD130.txt,008,0.165406
ADHD130.txt,000,0.150306
ADHD130.txt,020,0.138273
ADHD130.txt,012,0.10766
ADHD130.txt,011,0.066961
ADHD130.txt,002,0.06569
ADHD130.txt,005,0.054574
ADHD130.txt,004,0.039892
ADHD130.txt,016,0.024414
ADHD156.txt,016,0.751065
ADHD156.txt,014,0.096026
ADHD156.txt,004,0.095763
ADHD156.txt,001,0.057146
ADHD149.txt,002,0.326651
ADHD149.txt,004,0.219644
ADHD149.txt,005,0.118709
ADHD149.txt,001,0.107952
ADHD149.txt,014,0.07688
ADHD149.txt,000,0.071684
ADHD149.txt,016,0.044929
ADHD149.txt,007,0.033552
ADHD68.txt,018,0.334944
ADHD68.txt,001,0.168195
ADHD68.txt,010,0.087854
ADHD68.txt,006,0.075764
ADHD68.txt,011,0.072213
ADHD68.txt,014,0.063399
ADHD68.txt,000,0.052749
ADHD68.txt,009,0.051321
ADHD68.txt,003,0.049135
ADHD68.txt,005,0.044427
ADHD234.txt,003,0.388411
ADHD234.txt,010,0.185867
ADHD234.txt,001,0.184146
ADHD234.txt,004,0.085621
ADHD234.txt,011,0.062277
ADHD234.txt,014,0.039257
ADHD234.txt,002,0.029253
ADHD234.txt,000,0.025168
ADHD118.txt,002,0.854664
ADHD118.txt,008,0.069928
ADHD118.txt,004,0.042338
ADHD118.txt,020,0.03307
ADHD183.txt,007,0.366735
ADHD183.txt,009,0.268222
ADHD183.txt,001,0.210246
ADHD183.txt,008,0.066907
ADHD183.txt,016,0.060895
ADHD183.txt,014,0.026996
ADHD90.txt,004,0.943952
ADHD90.txt,005,0.056048
ADHD208.txt,007,0.308556
ADHD208.txt,001,0.236675
ADHD208.txt,010,0.225589
ADHD208.txt,011,0.127071
ADHD208.txt,005,0.062257
ADHD208.txt,002,0.025846
ADHD208.txt,014,0.014005
ADHD56.txt,003,0.336354
ADHD56.txt,001,0.270523
ADHD56.txt,004,0.13221
ADHD56.txt,002,0.091289
ADHD56.txt,000,0.082835
ADHD56.txt,016,0.047058
ADHD56.txt,007,0.039731
ADHD51.txt,002,0.349066
ADHD51.txt,019,0.318558
ADHD51.txt,000,0.217825
ADHD51.txt,001,0.114552
ADHD64.txt,006,1.0
ADHD145.txt,001,0.188778
ADHD145.txt,010,0.184792
ADHD145.txt,004,0.156596
ADHD145.txt,005,0.15509
ADHD145.txt,011,0.124528
ADHD145.txt,007,0.071212
ADHD145.txt,022,0.041224
ADHD145.txt,002,0.038325
ADHD145.txt,016,0.025406
ADHD145.txt,000,0.01405
ADHD128.txt,001,0.775325
ADHD128.txt,000,0.0864
ADHD128.txt,005,0.074386
ADHD128.txt,004,0.04358
ADHD128.txt,013,0.020309
ADHD139.txt,004,0.392532
ADHD139.txt,003,0.150483
ADHD139.txt,000,0.07838
ADHD139.txt,005,0.076982
ADHD139.txt,007,0.06689
ADHD139.txt,010,0.057586
ADHD139.txt,001,0.042213
ADHD139.txt,011,0.041074
ADHD139.txt,002,0.032495
ADHD139.txt,021,0.02043
ADHD53.txt,000,0.282002
ADHD53.txt,013,0.256749
ADHD53.txt,008,0.252598
ADHD53.txt,002,0.20865
ADHD79.txt,001,0.690164
ADHD79.txt,000,0.097762
ADHD79.txt,004,0.055206
ADHD79.txt,011,0.054648
ADHD79.txt,005,0.028938
ADHD79.txt,008,0.021766
ADHD79.txt,017,0.021367
ADHD79.txt,027,0.011451
ADHD79.txt,024,0.008624
ADHD79.txt,020,0.005483
ADHD131.txt,001,0.502536
ADHD131.txt,003,0.445102
ADHD131.txt,024,0.052362
ADHD226.txt,002,0.621687
ADHD226.txt,005,0.153265
ADHD226.txt,000,0.079706
ADHD226.txt,001,0.058862
