docname,topic,proportion
ADHD2.txt,008,0.394311
ADHD2.txt,026,0.330944
ADHD2.txt,007,0.071754
ADHD2.txt,013,0.045366
ADHD2.txt,016,0.032895
ADHD2.txt,004,0.030592
ADHD2.txt,003,0.029293
ADHD2.txt,025,0.023334
ADHD2.txt,014,0.016493
ADHD2.txt,001,0.013687
ADHD12.txt,000,0.807725
ADHD12.txt,009,0.071963
ADHD12.txt,019,0.048226
ADHD12.txt,017,0.04029
ADHD12.txt,001,0.028935
ADHD12.txt,024,0.00286
ADHD33.txt,026,0.298452
ADHD33.txt,001,0.173864
ADHD33.txt,003,0.088157
ADHD33.txt,017,0.057295
ADHD33.txt,009,0.047238
ADHD33.txt,024,0.04367
ADHD33.txt,027,0.04367
ADHD33.txt,020,0.030488
ADHD33.txt,000,0.030044
ADHD33.txt,006,0.028361
ADHD40.txt,015,1.0
ADHD32.txt,007,0.994472
ADHD32.txt,024,0.005528
ADHD25.txt,026,0.549319
ADHD25.txt,017,0.129391
ADHD25.txt,029,0.065274
ADHD25.txt,001,0.051919
ADHD25.txt,009,0.039444
ADHD25.txt,016,0.038047
ADHD25.txt,024,0.028057
ADHD25.txt,003,0.02231
ADHD25.txt,002,0.021048
ADHD25.txt,021,0.01817
ADHD7.txt,003,1.0
ADHD26.txt,000,0.366252
ADHD26.txt,026,0.303086
ADHD26.txt,020,0.064504
ADHD26.txt,011,0.055879
ADHD26.txt,009,0.053697
ADHD26.txt,001,0.038969
ADHD26.txt,006,0.031378
ADHD26.txt,003,0.029583
ADHD26.txt,024,0.023501
ADHD26.txt,018,0.013033
ADHD10.txt,002,0.981361
ADHD10.txt,003,0.018639
ADHD28.txt,026,0.511444
ADHD28.txt,001,0.059711
ADHD28.txt,004,0.058346
ADHD28.txt,002,0.045034
ADHD28.txt,025,0.038506
ADHD28.txt,012,0.033031
ADHD28.txt,027,0.032317
ADHD28.txt,018,0.03181
ADHD28.txt,017,0.026803
ADHD28.txt,003,0.022502
ADHD5.txt,017,0.980307
ADHD5.txt,006,0.011209
ADHD5.txt,001,0.008484
ADHD27.txt,026,0.376417
ADHD27.txt,001,0.121204
ADHD27.txt,000,0.061779
ADHD27.txt,008,0.033303
ADHD27.txt,003,0.031823
ADHD27.txt,027,0.031816
ADHD27.txt,009,0.029903
ADHD27.txt,002,0.029647
ADHD27.txt,028,0.029347
ADHD27.txt,022,0.028123
ADHD42.txt,022,1.0
ADHD31.txt,000,1.0
ADHD34.txt,026,0.358076
ADHD34.txt,001,0.328044
ADHD34.txt,003,0.065461
ADHD34.txt,017,0.056188
ADHD34.txt,000,0.041274
ADHD34.txt,025,0.040241
ADHD34.txt,002,0.033593
ADHD34.txt,029,0.020946
ADHD34.txt,027,0.020046
ADHD34.txt,022,0.018972
ADHD22.txt,026,0.440673
ADHD22.txt,009,0.074995
ADHD22.txt,000,0.063999
ADHD22.txt,001,0.063835
ADHD22.txt,027,0.049071
ADHD22.txt,017,0.031834
ADHD22.txt,029,0.029353
ADHD22.txt,014,0.026188
ADHD22.txt,006,0.023561
ADHD22.txt,015,0.023029
ADHD37.txt,020,1.0
ADHD39.txt,024,1.0
ADHD15.txt,019,1.0
ADHD14.txt,023,1.0
ADHD29.txt,026,0.509617
ADHD29.txt,001,0.092569
ADHD29.txt,009,0.078642
ADHD29.txt,000,0.045496
ADHD29.txt,024,0.041749
ADHD29.txt,015,0.0399
ADHD29.txt,016,0.032098
ADHD29.txt,029,0.028273
ADHD29.txt,027,0.023976
ADHD29.txt,017,0.020069
ADHD16.txt,003,0.946283
ADHD16.txt,000,0.016899
ADHD16.txt,004,0.015459
ADHD16.txt,024,0.013429
ADHD16.txt,001,0.00793
ADHD45.txt,016,1.0
ADHD30.txt,010,0.966576
ADHD30.txt,001,0.02487
ADHD30.txt,027,0.008555
ADHD18.txt,029,1.0
ADHD38.txt,009,1.0
ADHD23.txt,026,0.562547
ADHD23.txt,005,0.088773
ADHD23.txt,003,0.07263
ADHD23.txt,007,0.048942
ADHD23.txt,004,0.041271
ADHD23.txt,027,0.033909
ADHD23.txt,002,0.025877
ADHD23.txt,024,0.024404
ADHD23.txt,009,0.020875
ADHD23.txt,018,0.016512
ADHD20.txt,026,0.516585
ADHD20.txt,010,0.082976
ADHD20.txt,006,0.07933
ADHD20.txt,024,0.046772
ADHD20.txt,003,0.046301
ADHD20.txt,005,0.044746
ADHD20.txt,001,0.031158
ADHD20.txt,014,0.030798
ADHD20.txt,025,0.030405
ADHD20.txt,018,0.029594
ADHD11.txt,013,1.0
ADHD43.txt,026,0.375736
ADHD43.txt,004,0.25717
ADHD43.txt,005,0.139383
ADHD43.txt,007,0.052451
ADHD43.txt,008,0.04219
ADHD43.txt,016,0.036052
ADHD43.txt,010,0.031143
ADHD43.txt,003,0.019046
ADHD43.txt,014,0.014727
ADHD43.txt,002,0.013998
ADHD6.txt,001,0.981935
ADHD6.txt,024,0.018065
ADHD0.txt,021,1.0
ADHD41.txt,026,0.611529
ADHD41.txt,008,0.123262
ADHD41.txt,005,0.051035
ADHD41.txt,024,0.049
ADHD41.txt,004,0.0439
ADHD41.txt,007,0.033466
ADHD41.txt,016,0.03025
ADHD41.txt,003,0.021847
ADHD41.txt,006,0.017347
ADHD41.txt,022,0.013797
ADHD19.txt,008,0.975446
ADHD19.txt,024,0.01442
ADHD19.txt,027,0.010134
ADHD35.txt,004,0.983764
ADHD35.txt,009,0.016236
ADHD13.txt,026,0.439917
ADHD13.txt,004,0.31052
ADHD13.txt,005,0.062412
ADHD13.txt,027,0.041012
ADHD13.txt,003,0.036067
ADHD13.txt,002,0.027353
ADHD13.txt,006,0.018363
ADHD13.txt,024,0.017375
ADHD13.txt,018,0.013611
ADHD13.txt,012,0.013022
ADHD3.txt,003,0.496364
ADHD3.txt,001,0.333184
ADHD3.txt,027,0.059437
ADHD3.txt,000,0.041549
ADHD3.txt,022,0.021663
ADHD3.txt,028,0.013515
ADHD3.txt,004,0.010933
ADHD3.txt,026,0.010106
ADHD3.txt,011,0.007379
ADHD3.txt,024,0.005871
ADHD9.txt,025,1.0
ADHD17.txt,026,0.401895
ADHD17.txt,001,0.153621
ADHD17.txt,027,0.128832
ADHD17.txt,000,0.106038
ADHD17.txt,006,0.050421
ADHD17.txt,008,0.027088
ADHD17.txt,018,0.024681
ADHD17.txt,011,0.020764
ADHD17.txt,009,0.020231
ADHD17.txt,019,0.015509
ADHD47.txt,026,0.322712
ADHD47.txt,027,0.181992
ADHD47.txt,001,0.159557
ADHD47.txt,006,0.056571
ADHD47.txt,022,0.05527
ADHD47.txt,016,0.055212
ADHD47.txt,000,0.052128
ADHD47.txt,019,0.038544
ADHD47.txt,002,0.032387
ADHD47.txt,009,0.030943
ADHD4.txt,012,1.0
ADHD1.txt,018,1.0
ADHD44.txt,005,0.993092
ADHD44.txt,024,0.006908
ADHD24.txt,006,0.979447
ADHD24.txt,024,0.014854
ADHD24.txt,003,0.005699
ADHD36.txt,028,1.0
ADHD46.txt,014,1.0
ADHD48.txt,011,1.0
ADHD21.txt,027,1.0
ADHD8.txt,019,1.0
