docname,topic,proportion
ADHD18,000,0.805856
ADHD18,001,0.192451
ADHD18,002,0.001693
ADHD11,000,0.933476
ADHD11,001,0.054445
ADHD11,002,0.01208
ADHD4,000,0.927797
ADHD4,001,0.063631
ADHD4,002,0.008572
ADHD0,000,0.843949
ADHD0,001,0.143269
ADHD0,002,0.012782
ADHD5,001,1.0
ADHD8,000,0.911418
ADHD8,001,0.082248
ADHD8,002,0.006335
ADHD12,001,0.811382
ADHD12,000,0.154613
ADHD12,002,0.034006
ADHD15,002,0.990281
ADHD15,000,0.00972
ADHD13,000,1.0
ADHD3,000,0.598338
ADHD3,001,0.368871
ADHD3,002,0.032791
ADHD9,000,0.5823
ADHD9,001,0.374612
ADHD9,002,0.043089
ADHD14,000,0.891812
ADHD14,001,0.100428
ADHD14,002,0.00776
ADHD7,001,0.664333
ADHD7,000,0.333858
ADHD7,002,0.001809
ADHD1,000,0.905746
ADHD1,001,0.090519
ADHD1,002,0.003734
ADHD19,002,1.0
ADHD17,001,0.818123
ADHD17,000,0.14442
ADHD17,002,0.037457
ADHD2,001,0.779027
ADHD2,000,0.200363
ADHD2,002,0.02061
ADHD10,000,0.590308
ADHD10,001,0.405174
ADHD10,002,0.004518
ADHD6,000,0.807106
ADHD6,001,0.177786
ADHD6,002,0.015108
ADHD16,001,0.938139
ADHD16,000,0.061861
