topic,term,weight
000,adhd,0.021670617
000,kid,0.007851531
000,parent,0.007835344
000,teacher,0.007689162
000,diagnose,0.009644454
000,report,0.0072416044
000,read,0.006927325
000,feel,0.0098856045
000,bad,0.004790582
000,people,0.007836496
001,congrats,0.010159619
001,adhd,0.019081261
001,year,0.01167208
001,white,0.0063101626
001,you’re,0.0061001563
001,congratulation,0.006091865
001,i’m,0.009626785
001,hear,0.005786755
001,proud,0.004582395
001,program,0.004706324
002,notar,0.033815812
002,class,0.03121219
002,put,0.023323776
002,assignment,0.020257166
002,study,0.022030687
002,reminder,0.016603457
002,notebook,0.016587984
002,datar,0.016580326
002,calendar,0.016564822
002,college,0.017315399
