docname,topic,proportion
ADHD6,000,0.892071
ADHD6,001,0.107929
ADHD29,000,0.878799
ADHD29,002,0.114855
ADHD29,001,0.006346
ADHD204,000,0.512609
ADHD204,001,0.427028
ADHD204,002,0.060363
ADHD124,000,0.757326
ADHD124,003,0.126721
ADHD124,002,0.073895
ADHD124,005,0.042058
ADHD25,001,0.775342
ADHD25,000,0.224658
ADHD182,001,0.647018
ADHD182,000,0.252903
ADHD182,005,0.08388
ADHD182,002,0.016198
ADHD141,002,0.735387
ADHD141,003,0.264613
ADHD233,003,0.872701
ADHD233,000,0.127299
ADHD214,000,0.854111
ADHD214,004,0.113351
ADHD214,001,0.032537
ADHD205,000,1.0
ADHD119,004,1.0
ADHD163,000,0.790736
ADHD163,001,0.178276
ADHD163,002,0.030987
ADHD150,001,0.7177
ADHD150,000,0.223363
ADHD150,002,0.058937
ADHD133,000,0.879188
ADHD133,002,0.105531
ADHD133,001,0.015281
ADHD23,002,0.576294
ADHD23,001,0.276108
ADHD23,000,0.147598
ADHD12,000,0.859126
ADHD12,006,0.073084
ADHD12,001,0.06779
ADHD99,001,0.685951
ADHD99,000,0.314049
ADHD55,001,0.628028
ADHD55,000,0.352532
ADHD55,002,0.011906
ADHD55,005,0.007534
ADHD173,000,0.993515
ADHD173,001,0.006486
ADHD18,001,1.0
ADHD109,000,0.870751
ADHD109,002,0.077915
ADHD109,001,0.051334
ADHD65,000,0.587357
ADHD65,001,0.243237
ADHD65,005,0.127803
ADHD65,002,0.041602
ADHD185,000,0.844802
ADHD185,004,0.067966
ADHD185,001,0.053349
ADHD185,002,0.027444
ADHD185,005,0.006439
ADHD84,001,0.984374
ADHD84,000,0.015626
ADHD184,000,0.797325
ADHD184,002,0.182105
ADHD184,001,0.020571
ADHD193,001,0.57289
ADHD193,003,0.251319
ADHD193,000,0.106907
ADHD193,002,0.057404
ADHD193,005,0.01148
ADHD156,000,0.74323
ADHD156,001,0.25677
ADHD3,002,0.656256
ADHD3,001,0.343744
ADHD21,000,0.748221
ADHD21,004,0.25178
ADHD116,000,0.739955
ADHD116,001,0.233865
