topic,term,weight
000,feel,0.012454109
000,adhd,0.02237961
000,thing,0.013565846
000,timar,0.010485868
000,lot,0.0073840586
000,make,0.010157085
000,people,0.008734352
000,test,0.0068105287
000,start,0.006875706
000,learn,0.0049500656
001,list,0.018268233
001,task,0.01771487
001,timar,0.015649024
001,calendar,0.010706234
001,thing,0.016781723
001,write,0.011341092
001,make,0.013232159
001,day,0.011819121
001,work,0.022661755
001,journal,0.007604405
002,eye,0.024698844
002,remember,0.017134886
002,color,0.03835931
002,people,0.014032324
002,thing,0.016414002
002,timar,0.012834128
002,phone,0.009621227
002,black,0.010001096
002,friend,0.0074703977
002,blue,0.009617668
003,color,0.09118133
003,code,0.026057037
003,pen,0.022991542
003,red,0.016122662
003,blue,0.015994988
003,find,0.015129424
003,orange,0.014630753
003,black,0.013065361
003,adhd,0.02398225
003,green,0.010624807
004,pill,0.032355666
004,generic,0.029709257
004,adderall,0.028107848
004,bottle,0.027386377
004,20mg,0.016738199
004,dosage,0.016669054
004,brand,0.016701885
004,side,0.015897498
004,medication,0.015589797
004,feel,0.017365599
005,notar,0.17277148
005,take,0.12310063
005,organize,0.10081902
005,code,0.04220125
005,tip,0.03327718
005,understand,0.031881824
005,section,0.030447496
005,highlighters,0.030142888
005,picture,0.029753307
005,don’t,0.02994287
006,text,0.100219116
006,love,0.09325823
006,read,0.083438054
006,attention,0.04704809
006,website,0.04449475
006,layout,0.04472214
006,font,0.043378465
006,distract,0.04362671
006,help,0.045000557
006,turn,0.042128824
007,app,0.16389722
007,https,0.101864405
007,forest,0.09427606
007,www.forestapp.cc,0.0941884
007,adhd,0.059995852
007,planner,0.05311457
007,work,0.056339726
007,similar,0.04431812
007,sound,0.043857653
007,interface,0.04232391
