docname,topic,proportion
ADHD141,002,0.735382
ADHD141,003,0.264617
ADHD102,000,0.846318
ADHD102,001,0.147412
ADHD102,002,0.00627
ADHD78,001,0.864716
ADHD78,000,0.121001
ADHD78,006,0.014283
ADHD205,000,1.0
ADHD53,002,0.720382
ADHD53,001,0.255487
ADHD53,000,0.024131
ADHD1,000,0.498835
ADHD1,002,0.321499
ADHD1,001,0.172924
ADHD1,005,0.006742
ADHD211,000,0.702733
ADHD211,001,0.226966
ADHD211,002,0.070301
ADHD206,000,0.776647
ADHD206,001,0.217489
ADHD206,002,0.005864
ADHD61,000,0.66591
ADHD61,002,0.318762
ADHD61,001,0.015328
ADHD165,001,0.575146
ADHD165,000,0.308396
ADHD165,002,0.115588
ADHD165,005,0.000871
ADHD129,005,1.0
ADHD142,001,0.799775
ADHD142,000,0.200225
ADHD52,000,0.743979
ADHD52,002,0.155651
ADHD52,001,0.10037
ADHD81,000,0.807848
ADHD81,004,0.111471
ADHD81,001,0.072468
ADHD81,002,0.008213
ADHD172,002,0.684287
ADHD172,000,0.315713
ADHD217,000,0.820964
ADHD217,005,0.052449
ADHD217,001,0.046721
ADHD217,002,0.044539
ADHD217,006,0.035327
ADHD6,000,0.892036
ADHD6,001,0.107964
ADHD176,000,0.928302
ADHD176,002,0.071698
ADHD24,001,0.573298
ADHD24,000,0.392052
ADHD24,002,0.03465
ADHD124,000,0.757322
ADHD124,003,0.126713
ADHD124,002,0.073907
ADHD124,005,0.042058
ADHD21,000,0.748207
ADHD21,004,0.251792
ADHD227,002,0.505201
ADHD227,000,0.4948
ADHD48,002,0.964073
ADHD48,000,0.035927
ADHD79,001,1.0
ADHD140,000,0.914502
ADHD140,001,0.07256
ADHD140,002,0.012939
ADHD51,000,0.76037
ADHD51,001,0.18449
ADHD51,002,0.055141
ADHD169,002,1.0
ADHD58,002,0.9479
ADHD58,001,0.0521
ADHD150,001,0.717531
ADHD150,000,0.223588
ADHD150,002,0.058881
ADHD137,002,0.53818
ADHD137,000,0.38164
ADHD137,006,0.041419
ADHD137,005,0.025755
ADHD137,001,0.013006
ADHD230,000,0.933946
ADHD230,002,0.061793
ADHD230,001,0.004261
ADHD118,004,1.0
ADHD100,000,0.807932
ADHD100,001,0.182856
ADHD100,002,0.009212
ADHD22,000,0.443827
ADHD22,002,0.378638
ADHD22,001,0.177536
ADHD113,001,0.814153
ADHD113,000,0.173828
ADHD113,002,0.012019
ADHD114,000,0.868485
ADHD114,001,0.09143
ADHD114,002,0.040086
ADHD180,000,0.776854
ADHD180,002,0.111767
ADHD180,001,0.058447
ADHD180,005,0.052932
ADHD190,000,0.837785
ADHD190,002,0.15021
ADHD190,001,0.012005
ADHD168,000,0.858846
ADHD168,001,0.120574
ADHD168,002,0.02058
ADHD99,001,0.685979
ADHD99,000,0.314021
ADHD56,001,0.592542
ADHD56,002,0.254058
ADHD56,000,0.1534
ADHD109,000,0.870788
ADHD109,002,0.077879
ADHD109,001,0.051334
ADHD84,001,0.984374
ADHD84,000,0.015626
ADHD29,000,0.878784
ADHD29,002,0.114869
ADHD29,001,0.006346
ADHD13,000,0.974371
ADHD13,001,0.025629
ADHD167,000,0.887354
ADHD167,001,0.075611
ADHD167,004,0.037035
ADHD17,000,0.97813
ADHD17,004,0.02187
ADHD152,000,0.94009
ADHD152,001,0.05991
ADHD153,000,0.937774
ADHD153,002,0.045396
ADHD153,001,0.016831
ADHD156,000,0.743163
ADHD156,001,0.256837
ADHD231,000,0.925913
ADHD231,001,0.052315
ADHD231,002,0.021773
ADHD223,001,0.96881
ADHD223,000,0.03119
ADHD189,000,0.850478
ADHD189,002,0.123992
ADHD189,001,0.02553
ADHD202,000,0.987886
ADHD202,001,0.012114
ADHD59,000,0.563708
ADHD59,001,0.405081
ADHD59,002,0.031211
ADHD5,000,0.796268
ADHD5,001,0.144295
ADHD5,002,0.035298
ADHD5,006,0.024139
ADHD158,000,0.77262
ADHD158,001,0.180762
ADHD158,002,0.046618
ADHD219,000,0.745224
ADHD219,001,0.246034
ADHD219,002,0.008742
ADHD34,001,0.787856
ADHD34,000,0.212144
ADHD193,001,0.572884
ADHD193,003,0.251323
ADHD193,000,0.106907
ADHD193,002,0.057404
ADHD193,005,0.011482
ADHD7,001,0.431805
ADHD7,000,0.355018
ADHD7,003,0.160032
ADHD7,005,0.029892
ADHD7,002,0.023254
ADHD173,000,0.993512
ADHD173,001,0.006488
ADHD175,000,1.0
ADHD15,002,0.44526
ADHD15,003,0.373915
ADHD15,001,0.180825
ADHD201,001,0.67862
ADHD201,000,0.309322
ADHD201,002,0.012058
ADHD107,000,0.865479
ADHD107,001,0.100821
ADHD107,004,0.0337
ADHD161,000,0.742889
ADHD161,004,0.21818
ADHD161,001,0.021575
ADHD161,002,0.017356
ADHD9,000,0.950809
ADHD9,001,0.049191
ADHD97,002,0.70102
ADHD97,000,0.264916
ADHD97,006,0.034063
ADHD174,001,0.978829
ADHD174,000,0.021171
ADHD195,001,0.890372
ADHD195,000,0.073328
ADHD195,005,0.0363
ADHD203,001,0.547219
ADHD203,000,0.452781
ADHD198,000,0.910304
ADHD198,001,0.073045
ADHD198,002,0.012932
ADHD198,005,0.003719
ADHD215,001,0.460329
ADHD215,000,0.406064
ADHD215,002,0.100541
ADHD215,005,0.033065
ADHD55,001,0.628053
ADHD55,000,0.352503
ADHD55,002,0.011909
ADHD55,005,0.007535
ADHD4,000,0.85979
ADHD4,001,0.081265
ADHD4,004,0.058945
ADHD50,000,0.866443
ADHD50,002,0.086055
ADHD50,001,0.047502
ADHD42,001,0.905516
ADHD42,000,0.094484
ADHD135,003,0.814651
ADHD135,000,0.185349
ADHD234,000,0.983091
ADHD234,001,0.016909
ADHD143,000,0.986074
ADHD143,001,0.013926
ADHD3,002,0.656253
ADHD3,001,0.343747
ADHD39,000,1.0
ADHD0,000,0.574153
ADHD0,002,0.21471
ADHD0,001,0.119951
ADHD0,003,0.051104
ADHD0,006,0.040082
ADHD199,000,0.976349
ADHD199,001,0.023651
ADHD225,000,0.767487
ADHD225,001,0.1471
ADHD225,002,0.085413
ADHD101,002,0.713453
ADHD101,000,0.17689
ADHD101,001,0.109658
ADHD214,000,0.854089
ADHD214,004,0.113368
ADHD214,001,0.032543
ADHD159,000,0.946506
ADHD159,001,0.053494
ADHD218,000,0.920997
ADHD218,001,0.079003
ADHD221,001,0.696973
ADHD221,000,0.303027
ADHD32,003,1.0
ADHD40,001,0.512721
ADHD40,002,0.354107
ADHD40,000,0.118
ADHD40,007,0.015172
ADHD146,000,0.880327
ADHD146,001,0.087625
ADHD146,002,0.032048
ADHD43,001,0.820083
ADHD43,002,0.105035
ADHD43,000,0.074882
ADHD106,000,0.76079
ADHD106,001,0.170515
ADHD106,005,0.057406
ADHD106,006,0.011289
ADHD62,001,0.897121
ADHD62,000,0.102879
ADHD11,002,0.558403
ADHD11,000,0.411403
ADHD11,001,0.030194
ADHD108,002,0.508635
ADHD108,000,0.248007
ADHD108,001,0.182321
ADHD108,004,0.061038
ADHD136,000,0.472139
ADHD136,002,0.457925
ADHD136,001,0.069936
ADHD116,000,0.739919
ADHD116,001,0.233897
ADHD116,005,0.018765
ADHD116,002,0.007419
ADHD133,000,0.879177
ADHD133,002,0.105543
ADHD133,001,0.015279
ADHD182,001,0.647035
ADHD182,000,0.252884
