topic,term,weight
000,feel,0.012453478
000,adhd,0.022380287
000,thing,0.013564572
000,timar,0.010484628
000,lot,0.007383582
000,make,0.010155973
000,people,0.008734196
000,test,0.006810921
000,start,0.0068750908
000,learn,0.0049497476
001,list,0.018268228
001,task,0.017714864
001,timar,0.015648864
001,calendar,0.010706239
001,thing,0.016781496
001,write,0.01134103
001,make,0.013232001
001,day,0.011819038
001,work,0.02266162
001,journal,0.0076043895
002,eye,0.02469884
002,remember,0.01713488
002,color,0.038359188
002,people,0.014032324
002,thing,0.016413994
002,timar,0.012834155
002,phone,0.009621231
002,black,0.0100010745
002,friend,0.0074703977
002,blue,0.009617642
003,color,0.09118116
003,code,0.026057078
003,pen,0.022991564
003,red,0.016122699
003,blue,0.015995026
003,find,0.01512924
003,orange,0.0146307545
003,black,0.0130654
003,adhd,0.023981584
003,green,0.010624835
004,pill,0.03235566
004,generic,0.029709248
004,adderall,0.028107839
004,bottle,0.02738637
004,20mg,0.016738195
004,dosage,0.01666905
004,brand,0.01670188
004,side,0.015897492
004,medication,0.015589789
004,feel,0.017365579
005,notar,0.17277148
005,take,0.12310063
005,organize,0.10081903
005,code,0.04220125
005,tip,0.033277184
005,understand,0.03188182
005,section,0.030447504
005,highlighters,0.030142892
005,picture,0.02975331
005,don’t,0.029942872
006,text,0.1002191
006,love,0.09325822
006,read,0.08343805
006,attention,0.04704809
006,website,0.044494756
006,layout,0.044722144
006,font,0.04337847
006,distract,0.04362671
006,help,0.045000557
006,turn,0.042128827
007,app,0.16389723
007,https,0.101864405
007,forest,0.09427607
007,www.forestapp.cc,0.09418841
007,adhd,0.059995875
007,planner,0.053114556
007,work,0.05633971
007,similar,0.044318117
007,sound,0.043857656
007,interface,0.04232391
