docname,topic,proportion
Seattle12,000,0.815081
Seattle12,001,0.139489
Seattle12,002,0.031999
Seattle12,003,0.013431
Seattle5,000,0.760517
Seattle5,001,0.215681
Seattle5,002,0.015754
Seattle5,003,0.008048
Seattle4,001,0.403019
Seattle4,000,0.393708
Seattle4,002,0.140617
Seattle4,003,0.062655
Seattle15,003,1.0
Seattle0,000,0.801295
Seattle0,001,0.16666
Seattle0,002,0.02273
Seattle0,003,0.009315
Seattle1,001,0.639801
Seattle1,000,0.347728
Seattle1,002,0.012471
Seattle2,000,0.988705
Seattle2,002,0.011295
Seattle9,001,0.979791
Seattle9,000,0.020209
Seattle6,000,0.614041
Seattle6,001,0.37355
Seattle6,002,0.008205
Seattle6,003,0.004203
Seattle11,001,1.0
Seattle10,000,0.686695
Seattle10,001,0.274701
Seattle10,002,0.029757
Seattle10,003,0.008847
Seattle14,001,1.0
Seattle7,000,0.918229
Seattle7,002,0.081771
Seattle13,000,0.891347
Seattle13,001,0.083054
Seattle13,002,0.025599
Seattle8,001,0.896839
Seattle8,000,0.098933
Seattle8,003,0.004228
Seattle17,000,0.812692
Seattle17,001,0.097374
Seattle17,002,0.053649
Seattle17,003,0.036284
Seattle18,000,0.665806
Seattle18,001,0.298001
Seattle18,002,0.022672
Seattle18,003,0.013522
Seattle19,002,1.0
Seattle16,000,1.0
Seattle3,000,0.61862
Seattle3,001,0.320366
Seattle3,002,0.043043
Seattle3,003,0.017971
