topic,term,weight
000,month,0.10652607
000,seattle,0.102030575
000,visit,0.06725701
000,needle,0.066701554
000,space,0.06641503
000,august,0.06619811
000,rain,0.040242057
000,move,0.030662555
000,good,0.030409716
000,thing,0.028154738
001,fog,0.1380595
001,normal,0.13777438
001,seattle,0.08136056
001,year,0.03965288
001,timar,0.036584407
001,love,0.03655877
001,long,0.035911314
001,life,0.036023587
001,cloud,0.035892427
001,fantastic,0.035835832
002,stage,0.09516091
002,sarcasm,0.061218962
002,yes,0.025675096
002,picture,0.025534425
002,stick,0.025575634
002,make,0.025405543
002,accuse,0.025654018
002,godlike,0.025654018
002,waterfowl,0.025654018
002,poke,0.025654018
003,peak,0.10910229
003,snow,0.06951426
003,wind,0.069458015
003,south,0.069407344
003,baker,0.028212326
003,wingsuit,0.028200652
003,distance,0.028200652
003,lookout,0.028200652
003,trash,0.028200652
003,tall,0.028200652
004,weather,0.26830214
004,fire,0.0024722605
004,burn,0.0020928353
004,cost,0.0018650222
004,denver,0.0016891783
004,expensive,0.001660325
004,high,0.001373411
004,flight,0.0013673746
004,smoke,0.0012380437
004,land,0.0011606049
