topic,term,weight
000,month,0.10652606
000,seattle,0.10203055
000,visit,0.067257
000,needle,0.066701554
000,space,0.06641502
000,august,0.0661981
000,rain,0.04024205
000,move,0.030662553
000,good,0.030409714
000,thing,0.028154736
001,fog,0.13805953
001,normal,0.1377744
001,seattle,0.08136058
001,year,0.03965288
001,timar,0.036584403
001,love,0.03655877
001,long,0.035911314
001,life,0.036023587
001,cloud,0.035892423
001,fantastic,0.03583583
002,stage,0.09516088
002,sarcasm,0.061218947
002,yes,0.025675096
002,picture,0.025534425
002,stick,0.025575636
002,make,0.025405545
002,accuse,0.025654018
002,godlike,0.025654018
002,waterfowl,0.025654018
002,poke,0.025654018
003,peak,0.1091023
003,snow,0.06951427
003,wind,0.06945802
003,south,0.069407344
003,baker,0.028212326
003,wingsuit,0.028200652
003,distance,0.028200652
003,lookout,0.028200652
003,trash,0.028200652
003,tall,0.028200652
004,weather,0.26830113
004,fire,0.0024722542
004,burn,0.0020928327
004,cost,0.001865021
004,denver,0.0016891749
004,expensive,0.0016603161
004,high,0.0013734153
004,flight,0.0013673494
004,smoke,0.0012380382
004,land,0.0011605944
