docname,topic,proportion
Seattle12,004,0.875874
Seattle12,001,0.075509
Seattle12,000,0.032245
Seattle12,003,0.016372
Seattle2,003,1.0
Seattle0,004,0.915402
Seattle0,001,0.043732
Seattle0,003,0.022039
Seattle0,002,0.018827
Seattle14,004,0.785434
Seattle14,001,0.176137
Seattle14,000,0.038429
Seattle3,004,0.847569
Seattle3,001,0.067127
Seattle3,000,0.032873
Seattle3,003,0.030893
Seattle3,002,0.021538
Seattle6,000,1.0
Seattle5,002,1.0
Seattle9,004,0.881048
Seattle9,000,0.054265
Seattle9,001,0.040993
Seattle9,003,0.013158
Seattle9,002,0.010537
Seattle19,004,0.842505
Seattle19,001,0.067995
Seattle19,000,0.057873
Seattle19,002,0.018224
Seattle19,003,0.013404
Seattle13,000,1.0
Seattle8,004,0.887168
Seattle8,000,0.042344
Seattle8,003,0.03979
Seattle8,001,0.023922
Seattle8,002,0.006776
Seattle15,000,1.0
Seattle11,004,1.0
Seattle16,004,0.91962
Seattle16,000,0.059782
Seattle16,003,0.020598
Seattle17,004,0.930461
Seattle17,001,0.069539
Seattle10,001,1.0
Seattle1,004,0.509538
Seattle1,001,0.180319
Seattle1,000,0.126308
Seattle1,002,0.114583
Seattle1,003,0.069252
Seattle7,004,0.832624
Seattle7,001,0.105008
Seattle7,002,0.037266
Seattle7,003,0.025102
Seattle4,004,0.284833
Seattle4,001,0.259474
Seattle4,000,0.24106
Seattle4,002,0.116561
Seattle4,003,0.098072
Seattle18,004,0.862185
Seattle18,001,0.053485
Seattle18,000,0.035386
Seattle18,003,0.026026
Seattle18,002,0.022918
