topic,term,weight
000,month,0.10652606
000,seattle,0.10203055
000,visit,0.067257
000,needle,0.066701554
000,space,0.06641502
000,august,0.0661981
000,rain,0.04024205
000,move,0.03066255
000,good,0.03040971
000,thing,0.028154733
001,fog,0.13805947
001,normal,0.13777433
001,seattle,0.081360556
001,year,0.039652877
001,timar,0.036584403
001,love,0.03655877
001,long,0.03591131
001,life,0.036023583
001,cloud,0.035892423
001,fantastic,0.03583583
002,stage,0.09516089
002,sarcasm,0.06121895
002,yes,0.025675092
002,picture,0.025534421
002,stick,0.025575632
002,make,0.025405541
002,accuse,0.025654014
002,godlike,0.025654014
002,waterfowl,0.025654014
002,poke,0.025654014
003,peak,0.10910228
003,snow,0.06951425
003,wind,0.069458
003,south,0.06940733
003,baker,0.02821232
003,wingsuit,0.028200645
003,distance,0.028200645
003,lookout,0.028200645
003,trash,0.028200645
003,tall,0.028200645
004,weather,0.26829335
004,fire,0.0024722647
004,burn,0.0020928383
004,cost,0.001865081
004,denver,0.0016892346
004,expensive,0.001660364
004,high,0.0013734846
004,flight,0.0013674172
004,smoke,0.0012380475
004,land,0.001160626
